,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,289.15,82,20,6.17,ZA,1619556842
1,acapulco,16.8634,-99.8901,303.15,66,40,4.63,MX,1619556730
2,punta arenas,-53.15,-70.9167,281.15,87,90,4.12,CL,1619557008
3,saldanha,-33.0117,17.9442,289.15,88,95,2.06,ZA,1619557009
4,evinayong,1.4368,10.5512,294.44,99,100,1.06,GQ,1619557009
5,albany,42.6001,-73.9662,292.59,20,93,0.92,US,1619556900
6,chokurdakh,70.6333,147.9167,268.92,88,100,0.89,RU,1619557009
7,paramonga,-10.6667,-77.8333,294.02,80,94,5.6,PE,1619557010
8,new norfolk,-42.7826,147.0587,280.93,90,88,1.46,AU,1619557010
9,falmouth,50.1544,-5.0711,282.15,81,40,3.6,GB,1619556900
10,east london,-33.0153,27.9116,291.94,74,90,5.06,ZA,1619556761
11,san quintin,30.4833,-115.95,287.35,75,99,5.02,MX,1619557010
12,souillac,-20.5167,57.5167,298.15,94,75,5.14,MU,1619557010
13,alofi,-19.0595,-169.9187,300.9,79,100,10.62,NU,1619556901
14,hobyo,5.3505,48.5268,302.06,70,4,5.44,SO,1619557011
15,kodiak,57.79,-152.4072,279.15,87,90,9.77,US,1619556754
16,bahia blanca,-38.7196,-62.2724,294.22,55,0,4.89,AR,1619556903
17,rikitea,-23.1203,-134.9692,298.45,70,1,4.34,PF,1619557417
18,ushuaia,-54.8,-68.3,279.15,93,75,0.29,AR,1619557417
19,les cayes,18.2,-73.75,301.09,63,48,3.25,HT,1619557417
20,amqui,48.4638,-67.4313,282.15,66,75,2.57,CA,1619557417
21,jamestown,42.097,-79.2353,296.15,43,1,4.12,US,1619557409
22,mataura,-46.1927,168.8643,280.37,82,100,3.13,NZ,1619557418
23,kollam,8.8833,76.6,301.15,83,20,1.86,IN,1619557418
24,katsuura,35.1333,140.3,286.15,82,75,1.54,JP,1619557418
25,puerto escondido,15.85,-97.0667,304.15,70,1,3.09,MX,1619557419
26,naze,28.3667,129.4833,290.97,60,97,2.4,JP,1619557419
